file_name,column_name,data_type,description,unit,allowed_values_or_range,missing_value_rule,notes
data/processed/coverage_by_time.csv,time_bin,object,timestamp or date field,datetime,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/coverage_by_time.csv,total_panel_rows,int64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/coverage_by_time.csv,observed_points,int64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/coverage_by_time.csv,total_points,int64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/coverage_by_time.csv,coverage_ratio,float64,ratio or percentage variable,proportion or percent,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/coverage_by_time.csv,date,object,timestamp or date field,datetime,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_ablation_summary.csv,ablation_group,object,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_ablation_summary.csv,model,object,forecasting model name,category,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_ablation_summary.csv,history_hours,int64,input history length in hours,hours,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_ablation_summary.csv,horizons,object,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_ablation_summary.csv,test_MAE_mean_across_horizons,float64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_ablation_summary.csv,test_RMSE_mean_across_horizons,float64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_ablation_summary.csv,test_sMAPE_mean_across_horizons,float64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_ablation_summary.csv,best_horizon_hours,int64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_ablation_summary.csv,best_horizon_MAE,float64,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_ablation_summary.csv,mean_improvement_percent_vs_speed_only,float64,traffic speed variable or speed-derived metric,speed units,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_ablation_summary.csv,mean_improvement_percent_vs_seasonal,float64,ratio or percentage variable,proportion or percent,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_ablation_summary.csv,interpretation,object,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_empirical_findings_summary.csv,finding_id,object,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_empirical_findings_summary.csv,finding,object,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_empirical_findings_summary.csv,supporting_phase,object,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_empirical_findings_summary.csv,supporting_metric,object,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_empirical_findings_summary.csv,paper_interpretation,object,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_empirical_findings_summary.csv,caution_or_limitation,object,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_history_sensitivity_summary.csv,summary_type,object,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_history_sensitivity_summary.csv,history_hours,int64,input history length in hours,hours,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_history_sensitivity_summary.csv,horizon_hours,object,forecast horizon in hours,hours,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_history_sensitivity_summary.csv,MAE,float64,mean absolute error,speed units,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_history_sensitivity_summary.csv,RMSE,float64,root mean squared error,speed units,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_history_sensitivity_summary.csv,sMAPE,float64,symmetric mean absolute percentage error,ratio,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_history_sensitivity_summary.csv,improvement_percent_vs_seasonal,float64,ratio or percentage variable,proportion or percent,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_history_sensitivity_summary.csv,is_best_history_for_horizon,bool,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_history_sensitivity_summary.csv,interpretation,object,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_main_forecasting_results.csv,source_phase,object,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_main_forecasting_results.csv,model,object,forecasting model name,category,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_main_forecasting_results.csv,feature_group,object,input feature group,category,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_main_forecasting_results.csv,history_hours,object,input history length in hours,hours,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_main_forecasting_results.csv,horizon_hours,int64,forecast horizon in hours,hours,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_main_forecasting_results.csv,split,object,train/validation/test split identifier,category,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_main_forecasting_results.csv,MAE,float64,mean absolute error,speed units,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_main_forecasting_results.csv,RMSE,float64,root mean squared error,speed units,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_main_forecasting_results.csv,sMAPE,float64,symmetric mean absolute percentage error,ratio,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_main_forecasting_results.csv,comparison_baseline,object,inferred analytical variable from the source CSV,not specified,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
data/processed/final_main_forecasting_results.csv,improvement_percent_vs_seasonal,float64,ratio or percentage variable,proportion or percent,observed values in file,blank or NaN indicates unavailable or not applicable,automatically inferred
