phase,main_model,feature_group,horizon,seed,train_n,val_n,test_n,node_count,MAE,RMSE,MAPE,sMAPE,R2,relative_MAE_change_from_speed_only_percent,fit_time_sec,inference_time_sec,config_hash,data_hash
phase15,TCN,speed_only,3,2025,64783,11601,11878,51,1.0656143581250999,1.8386158130734562,0.014235519058095602,0.014092149078909372,0.9865738372422147,0.0,1806.9782550999953,11.44344529999944,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,speed_only,3,2026,64783,11601,11878,51,1.0748662550374302,2.1272069725708747,0.015508206197338554,0.01512916044723179,0.9820282891977037,0.0,982.8772125000105,12.451007700001355,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,speed_only,3,3407,64783,11601,11878,51,1.0046011034658329,1.8211394600005495,0.01344952351460076,0.013283671915774469,0.9868278600903031,0.0,2641.5925242999947,13.468159899988677,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,speed_time,3,42,64783,11601,11878,51,1.086942267269373,1.8409952720907772,0.014600240554348238,0.014438110665142126,0.9865390636086506,5.4783489531812934,2848.329276000004,12.472425100000692,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,speed_time,3,2024,64783,11601,11878,51,1.0694351531897637,1.8251628862715095,0.014269246337418384,0.014126421347152687,0.986769593628061,3.2892848924284084,2822.673168600013,13.058630600004108,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,speed_time,3,2025,64783,11601,11878,51,1.050852872884159,1.821460481556543,0.014098270873695726,0.013962674599119759,0.9868232158402216,-1.3852558506168169,2854.2234114999883,13.170974299995578,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,speed_time,3,2026,64783,11601,11878,51,1.0465170275303908,1.8362290125041472,0.013979509222646904,0.013912281357162722,0.9866086729840736,-2.637465579943449,2831.3179133999947,12.363501999992877,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,speed_time,3,3407,64783,11601,11878,51,1.084591706888225,1.8427666540982954,0.014550395262658193,0.014448442481725556,0.9865131472662173,7.962424403718823,2820.897142499991,11.796104799999739,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,speed_reliability,3,42,64783,11601,11878,51,1.2121916799999723,2.160600888923826,0.016107001897981383,0.01600487447670471,0.9814596031191413,17.632721508191278,2165.6446232000017,11.773465799997211,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,speed_reliability,3,2024,64783,11601,11878,51,1.110817974756655,2.0084507694691687,0.014860751527507961,0.014617356567552043,0.9839789008749587,7.286163089040948,2083.0148587000003,11.767705700010993,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,speed_reliability,3,2025,64783,11601,11878,51,1.138494004864427,1.9965326391227323,0.015206820031613468,0.015036473819733524,0.9841684748767441,6.839214034949337,1925.8570857000013,11.76972760001081,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,speed_reliability,3,2026,64783,11601,11878,51,1.0385738592152645,1.9300055694255598,0.014058400030748899,0.01384184913189265,0.985205951089804,-3.3764568989005883,2456.7244347000087,12.741865200005122,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase15,TCN,speed_reliability,3,3407,64783,11601,11878,51,1.0696521345704748,1.955334582939994,0.01444593808442431,0.014295030225038077,0.9848150946717869,6.475309541291418,1997.4991164999956,11.653830200011726,26af76169862fc7dec9dbe9146a2a39f74ff7aa9f4e8fea2b384a7405a7508bb,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
