phase,experiment,level,level_numeric,horizon,seed,test_n,MAE,RMSE,MAPE,sMAPE,R2,reference_MAE,relative_MAE_change_percent
phase16,missingness,10,10.0,3,2025,11878,1.7328486459426635,2.8174502261960512,0.0244042988651198,0.023358597483037404,0.9684730156972917,1.1722809783054293,47.818541630484624
phase16,missingness,20,20.0,3,2025,11878,2.51971053932628,3.9203678167399576,0.03634544466172605,0.034084745962476515,0.9389587306343852,1.1722809783054293,114.94083636574948
phase16,missingness,30,30.0,3,2025,11878,3.504011670433927,5.192638077096379,0.05075162633493736,0.046955322838140155,0.892910711536651,1.1722809783054293,198.90544462293425
phase16,missingness,0,0.0,3,2026,11878,1.1904330604464584,1.9599611912233372,0.015664854978307254,0.015586527983314093,0.984743150232468,1.1904330604464584,0.0
phase16,missingness,10,10.0,3,2026,11878,2.183183660569828,3.0974462556584967,0.028607611273051427,0.02798901440621855,0.9618953931706216,1.1904330604464584,83.3940717129487
phase16,missingness,20,20.0,3,2026,11878,3.580021625055691,4.730104664439429,0.04615474901956044,0.0448993619518634,0.911138952816052,1.1904330604464584,200.73271181775186
phase16,missingness,30,30.0,3,2026,11878,5.141883146925434,6.430073700916839,0.06566374698123711,0.06382135977389682,0.8357891582677945,1.1904330604464584,331.9338329697454
phase16,missingness,0,0.0,3,3407,11878,1.1555155800496475,1.9527490259612643,0.01522058698566632,0.015102492850048029,0.9848552264020841,1.1555155800496475,0.0
phase16,missingness,10,10.0,3,3407,11878,1.7849534189365872,3.0297593465724537,0.025852730827690764,0.02446076201599689,0.9635425580047692,1.1555155800496475,54.472466642111
phase16,missingness,20,20.0,3,3407,11878,2.673862158118083,4.397119109381265,0.040473602704546384,0.037110739643186244,0.923209696227299,1.1555155800496475,131.3999226218307
phase16,missingness,30,30.0,3,3407,11878,3.693605774479455,5.885314638675235,0.05687928533625356,0.050979882503255365,0.8624345739727236,1.1555155800496475,219.65001928582885
phase16,missingness,0,0.0,6,42,12166,1.0392762719849977,1.5850672160967356,0.013570615759179838,0.013530501160743726,0.9900205223660117,1.0392762719849977,0.0
phase16,missingness,10,10.0,6,42,12166,1.6544955706843298,2.7632960519734904,0.024301287827981938,0.02310359923987183,0.9696703586279526,1.0392762719849977,59.19689646375502
phase16,missingness,20,20.0,6,42,12166,2.4783875338246943,4.249775190109944,0.038513996720106775,0.03526104103778835,0.9282628108884002,1.0392762719849977,138.4724447803491
phase16,missingness,30,30.0,6,42,12166,3.40468678026828,5.817332018249178,0.054517954099524084,0.048328620522890414,0.8655811594932952,1.0392762719849977,227.60170438274258
phase16,missingness,0,0.0,6,2024,12166,1.0143020851879003,1.5467639131350026,0.013329045847340237,0.013229207290254886,0.9904970049202053,1.0143020851879003,0.0
phase16,missingness,10,10.0,6,2024,12166,1.8560610935324688,2.947377795647066,0.02660557828833404,0.025352906400131266,0.9654948391051456,1.0143020851879003,82.9889852970806
phase16,missingness,20,20.0,6,2024,12166,2.88032262113246,4.4468537781873785,0.04256351457026136,0.039573274549589824,0.9214550730022703,1.0143020851879003,183.9708863064082
phase16,missingness,30,30.0,6,2024,12166,3.9361147716722265,6.032136042711881,0.05959010691499197,0.05394088243222576,0.8554711000154502,1.0143020851879003,288.0613901077664
phase16,missingness,0,0.0,6,2025,12166,1.1314962272010665,1.7393589312420101,0.014754794465709629,0.014629493222002342,0.9879831437746891,1.1314962272010665,0.0
phase16,missingness,10,10.0,6,2025,12166,1.7003941392498778,2.686764549882861,0.024207836760042224,0.02321045566386853,0.9713270973039412,1.1314962272010665,50.27837463109088
phase16,missingness,20,20.0,6,2025,12166,2.621874015189777,3.970031473347899,0.038092245297286026,0.03585072043391958,0.9373962510012444,1.1314962272010665,131.7174332675765
phase16,missingness,30,30.0,6,2025,12166,3.8046287393640497,5.502345322822338,0.05522123100792874,0.05115653053630513,0.8797436196164633,1.1314962272010665,236.24758509141438
phase16,missingness,0,0.0,6,2026,12166,1.1326843643000344,1.6977915326742261,0.014677971518210247,0.014638044813703914,0.98855064111683,1.1326843643000344,0.0
phase16,missingness,10,10.0,6,2026,12166,2.118582288587483,2.8943164644291044,0.027488264265883754,0.027022526665751525,0.9667260413731726,1.1326843643000344,87.04083461915754
phase16,missingness,20,20.0,6,2026,12166,3.4550642574497807,4.4576731043883315,0.044822940066178284,0.04364117351756253,0.9210724038041591,1.1326843643000344,205.03327902693428
phase16,missingness,30,30.0,6,2026,12166,4.982332127709227,6.144969340108126,0.06417924207906194,0.06230325719144958,0.8500135994858136,1.1326843643000344,339.86941859024967
phase16,missingness,0,0.0,6,3407,12166,1.0855548328109308,1.7019167208761412,0.014222502548283444,0.014106821929861553,0.9884949356448034,1.0855548328109308,0.0
phase16,missingness,10,10.0,6,3407,12166,1.8177451632749126,2.9866754832178604,0.026793382557180688,0.02536055031544396,0.9645685834364365,1.0855548328109308,67.44848885873886
phase16,missingness,20,20.0,6,3407,12166,2.721108807675564,4.346224145515806,0.04127826030538719,0.03805011979407994,0.9249697000852116,1.0855548328109308,150.66525664388016
phase16,missingness,30,30.0,6,3407,12166,3.8904903577421717,6.075588077627905,0.059965014017218404,0.05377008131856018,0.8533813945494628,1.0855548328109308,258.38727258651267
