phase,experiment,ratio_percent,horizon,seed,train_n,val_n,test_n,MAE,RMSE,MAPE,sMAPE,R2,reference_MAE_100_percent,relative_MAE_change_percent
phase16,small_sample,20,1,2026,13317,12201,12265,1.4974989810575041,2.7394183806796906,0.02039966896600086,0.0200302150549339,0.9707312599868394,1.1632968047274603,28.728882858776643
phase16,small_sample,40,1,2026,26634,12201,12265,1.3919498337855691,2.6568600292887936,0.019027077446285682,0.01863599184111458,0.9724688313730845,1.1632968047274603,19.655605356165154
phase16,small_sample,60,1,2026,39951,12201,12265,1.3086119860568632,2.5766648678024935,0.017691113775538198,0.017320856756019853,0.9741057600493948,1.1632968047274603,12.491668569780664
phase16,small_sample,80,1,2026,53268,12201,12265,1.3281685272042625,2.637666423783897,0.018183777824373734,0.017825837908923673,0.9728651741819805,1.1632968047274603,14.17279939279371
phase16,small_sample,100,1,2026,66585,12201,12265,1.1632968047274603,2.4694179885160925,0.015622761604777373,0.015318136316013375,0.9762164592088091,1.1632968047274603,0.0
phase16,small_sample,20,1,3407,13317,12201,12265,1.5288995833772083,2.779018434339223,0.02066872958965176,0.020349159655807678,0.9698789469236035,1.3894647571052088,10.035146667735287
phase16,small_sample,40,1,3407,26634,12201,12265,1.3365011071361816,2.6348518511256485,0.01819513361667415,0.01776902335210051,0.972923052760211,1.3894647571052088,-3.8118023287881626
phase16,small_sample,60,1,3407,39951,12201,12265,1.2937237949114744,2.579622027846351,0.017372414667826543,0.017058757561116224,0.9740462898767732,1.3894647571052088,-6.890492306778603
phase16,small_sample,80,1,3407,53268,12201,12265,1.3161910468007028,2.6492536260507507,0.01785524319232304,0.01761093503403599,0.9726262453130762,1.3894647571052088,-5.273520607831999
phase16,small_sample,100,1,3407,66585,12201,12265,1.3894647571052088,2.705622092972387,0.01897440970082616,0.018643868703077177,0.9714489838845399,1.3894647571052088,0.0
phase16,small_sample,20,3,42,12956,11601,11878,1.377582179273614,2.2281546898422873,0.01862171444338907,0.0183113585792714,0.9802821025930347,1.1280393443097168,22.1218201495091
phase16,small_sample,40,3,42,25913,11601,11878,1.2160046963323183,2.026938134797779,0.01629505572485997,0.016109404246768322,0.9836826017665943,1.1280393443097168,7.7980748159480555
phase16,small_sample,60,3,42,38869,11601,11878,1.160820452607748,1.9465843679969075,0.015533640164857193,0.015318535192713676,0.984950696920366,1.1280393443097168,2.9060252608556807
phase16,small_sample,80,3,42,51826,11601,11878,1.1292784519519925,1.9215708244078389,0.015172836800204783,0.01494109382596879,0.9853349780305947,1.1280393443097168,0.10984613688576608
phase16,small_sample,100,3,42,64783,11601,11878,1.1280393443097168,1.889791028370647,0.01493305285558039,0.014785779954253647,0.9858160402096158,1.1280393443097168,0.0
phase16,small_sample,20,3,2024,12956,11601,11878,1.3562021303666643,2.135997171255003,0.018255010081746858,0.018025398020196527,0.9818794543091711,1.0965016664208578,23.68445684113795
phase16,small_sample,40,3,2024,25913,11601,11878,1.2331436041289054,1.9983024623964107,0.016485463503397087,0.016314528423666427,0.9841403947744989,1.0965016664208578,12.461626087087216
phase16,small_sample,60,3,2024,38869,11601,11878,1.1656983652225668,1.9204363006830663,0.015490000241733397,0.015361423089491648,0.9853522898085751,1.0965016664208578,6.310678854467878
phase16,small_sample,80,3,2024,51826,11601,11878,1.1160929463571683,1.8941012109705107,0.014813994163688747,0.014636608390935986,0.9857512656670468,1.0965016664208578,1.7867077211345517
phase16,small_sample,100,3,2024,64783,11601,11878,1.0965016664208578,1.8306693949955422,0.01435242495908484,0.014289618532301542,0.986689641041056,1.0965016664208578,0.0
phase16,small_sample,20,3,2025,12956,11601,11878,1.3262679494577418,2.1379952414715637,0.018006615050616463,0.017784064021770185,0.9818455375444496,1.1722809783054293,13.135670884543888
phase16,small_sample,40,3,2025,25913,11601,11878,1.275338081704143,2.037610299074587,0.016950607198962797,0.01687051761550789,0.9835103218192144,1.1722809783054293,8.791160592547206
phase16,small_sample,60,3,2025,38869,11601,11878,1.2451041814634185,2.0631048797695724,0.01634550415720021,0.01614549687793863,0.9830951026405518,1.1722809783054293,6.212094583608915
