experiment,model,feature_group,target,target_column,history_hours,horizon_hours,train_ratio,seed,mae,rmse,smape,n_train_windows,n_val_windows,n_test_windows,best_epoch,best_val_mae,train_start,train_end_selected,val_start,val_end,test_start,test_end
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,1,1.0,4,0.9453909182519125,2.336485406200306,0.01291630331330329,61291,6110,6488,9,1.1176140262335295,2025-12-15 13:00:00,2026-02-04 06:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,1,1.0,5,1.1067576861116948,2.3464610468931775,0.01463113280684072,61291,6110,6488,2,1.324838497205569,2025-12-15 13:00:00,2026-02-04 06:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,3,0.2,1,1.0156798779737812,1.7901711819995365,0.0137550033570663,12405,5629,6312,11,1.229753108320238,2025-12-15 13:00:00,2025-12-25 16:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,3,0.2,2,0.9492571991508301,1.8002276206854695,0.012972471224835124,12405,5629,6312,4,1.1418900854910727,2025-12-15 13:00:00,2025-12-25 16:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,3,0.2,3,1.0208634846715117,1.8064140952783978,0.013625914336190382,12405,5629,6312,9,1.2239692906203332,2025-12-15 13:00:00,2025-12-25 16:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,3,0.2,4,1.0413466623980736,1.8184497093282856,0.013899803676115083,12405,5629,6312,4,1.2223496253250292,2025-12-15 13:00:00,2025-12-25 16:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,3,0.2,5,1.0357315706511716,1.7906160212163915,0.01391590000371883,12405,5629,6312,11,1.2389732858261728,2025-12-15 13:00:00,2025-12-25 16:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,3,0.4,1,1.0196333547962029,1.8275045768827967,0.013671335827731106,24450,5629,6312,5,1.2073454993256965,2025-12-15 13:00:00,2026-01-04 19:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,3,0.4,2,1.1168225696936005,1.9867195385191891,0.015237595304154725,24450,5629,6312,1,1.3445421328318439,2025-12-15 13:00:00,2026-01-04 19:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,3,0.4,3,1.0167152262157058,1.8135031801877877,0.013762761983223343,24450,5629,6312,7,1.2284903987980076,2025-12-15 13:00:00,2026-01-04 19:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,3,0.4,4,1.0300467651908691,1.8657628322699198,0.013868243545294853,24450,5629,6312,4,1.2171810920676027,2025-12-15 13:00:00,2026-01-04 19:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,3,0.4,5,1.2417718611742607,1.9281851719653775,0.016193131764698082,24450,5629,6312,2,1.4513853476004737,2025-12-15 13:00:00,2026-01-04 19:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
phase8_small_sample_training,TCN,speed_only,speed,current_speed,168,3,0.6,1,1.0490449801446216,1.8230164895472756,0.014108367257559243,36509,5629,6312,2,1.2517894447368676,2025-12-15 13:00:00,2026-01-14 22:00:00,2026-02-11 07:00:00,2026-02-16 15:00:00,2026-02-23 16:00:00,2026-02-28 23:00:00
