model,ablation_group,history_hours,horizon_hours,epoch,split,train_loss,MAE,RMSE,sMAPE,best_val_MAE,best_epoch,elapsed_seconds
TCN,full_features,24,3,7,val,0.013969942826598917,1.2880024488666286,1.988208928500745,0.016853267089313576,1.045395328879161,6,494.94060210000316
TCN,full_features,24,3,8,val,0.013553612306355376,1.0336124281073098,1.8885610223105875,0.01395467184104394,1.0336124281073098,8,565.5948711999954
TCN,full_features,24,3,9,val,0.013283703562446767,1.1790835657835768,1.927399019001374,0.01564488958282164,1.0336124281073098,8,636.377610399999
TCN,full_features,24,3,10,val,0.013061602938057524,1.005190226920935,1.919914914322892,0.013800623003176495,1.005190226920935,10,707.0937791000033
TCN,full_features,24,3,11,val,0.012648081723798728,1.0315402359523071,1.8733261330812876,0.013850636676755481,1.005190226920935,10,777.7477879000071
TCN,full_features,24,3,12,val,0.012567073751732112,0.9497086819508253,1.9282082084193852,0.013168379195541998,0.9497086819508253,12,848.290173500005
TCN,full_features,24,3,13,val,0.012376972797561059,1.0366921652987973,1.886566576294186,0.013871619054368433,0.9497086819508253,12,918.8956304000021
TCN,full_features,24,3,14,val,0.012086204762506932,0.9659150913351312,1.9306783837821049,0.013349563458155585,0.9497086819508253,12,990.0249270000058
TCN,full_features,24,3,15,val,0.012073667501868597,1.042225689325299,1.901326333579696,0.013878084710056693,0.9497086819508253,12,1060.9293919000047
TCN,full_features,24,3,12,test,,1.0175650825121523,1.7982787581716948,0.0135388547355644,0.9497086819508253,12,1070.3136096999951
TCN,speed_only,24,6,1,val,0.025874222914811163,1.0663747226682483,1.6596181332138475,0.014178050676006929,1.0663747226682483,1,73.00761880000937
TCN,speed_only,24,6,2,val,0.016107578339559916,1.036122668339656,1.7330823763662762,0.014420573097389075,1.036122668339656,2,146.2051475000044
TCN,speed_only,24,6,3,val,0.014540040612977504,1.0395074378119575,1.6311608557667343,0.014715092654029713,1.036122668339656,2,219.52534600000945
TCN,speed_only,24,6,4,val,0.013765899547912554,1.0191884453276283,1.5688698947528799,0.013269836926593778,1.0191884453276283,4,293.61216270001023
TCN,speed_only,24,6,5,val,0.013415810320863968,0.9645772082989033,1.556127236681512,0.013094320899462277,0.9645772082989033,5,366.5448486000096
TCN,speed_only,24,6,6,val,0.012979280795865663,0.9247164454011836,1.6221547597453254,0.013135861245559951,0.9247164454011836,6,439.5831943000085
TCN,speed_only,24,6,7,val,0.012597127189772303,0.8094859252016768,1.4318482937999988,0.010875447931428446,0.8094859252016768,7,512.7595246000128
TCN,speed_only,24,6,8,val,0.012417114360359778,0.9188654108944102,1.4910900402500078,0.012307365326082545,0.8094859252016768,7,585.8515505000105
TCN,speed_only,24,6,9,val,0.01225299445847077,0.9669321073222364,1.4671559998276753,0.01273030426894746,0.8094859252016768,7,658.9939091000124
TCN,speed_only,24,6,10,val,0.01205596824953312,0.8994471166887854,1.4821847322485633,0.012070790647339437,0.8094859252016768,7,731.9566057000047
TCN,speed_only,24,6,11,val,0.011780316738288266,0.7492300287882487,1.454428292438031,0.010405006894789999,0.7492300287882487,11,804.9385091000004
TCN,speed_only,24,6,12,val,0.011772803016333945,0.8658493762546116,1.455919026022713,0.011608481652032758,0.7492300287882487,11,878.7191652000038
TCN,speed_only,24,6,13,val,0.01171773591483907,0.9487304560343425,1.4892396663600873,0.012905370200507865,0.7492300287882487,11,952.4367977000074
TCN,speed_only,24,6,14,val,0.011657652774815138,0.9304011010716104,1.4876592234048203,0.012616223268565594,0.7492300287882487,11,1025.4234445000038
TCN,speed_only,24,6,15,val,0.011574937078751017,0.9419625704512636,1.460320402398634,0.012314823633354323,0.7492300287882487,11,1098.552147200011
TCN,speed_only,24,6,11,test,,0.8293011010173276,1.438978310195123,0.011127826663243615,0.7492300287882487,11,1108.2298727000016
TCN,speed_time,24,6,1,val,0.03947323019091887,1.2796620448837932,1.9858138932161453,0.017600224046642424,1.2796620448837932,1,74.21361869999964
TCN,speed_time,24,6,2,val,0.017127458399701832,1.039630631666917,1.8012289124072234,0.01445531663047395,1.039630631666917,2,147.25979189999634
TCN,speed_time,24,6,3,val,0.014931085902245907,1.0661547861343774,1.7171351794310474,0.014217881511798586,1.039630631666917,2,220.81922180000402
TCN,speed_time,24,6,4,val,0.01320478644215432,1.0077451627682417,1.664900128119761,0.013471268959684162,1.0077451627682417,4,293.89603659999557
TCN,speed_time,24,6,5,val,0.01211582912663403,1.0915533039712497,1.6991647788076494,0.014569660329049655,1.0077451627682417,4,367.0456004000007
TCN,speed_time,24,6,6,val,0.011491831746771536,1.0001315490200988,1.6043608298161274,0.013312002828874436,1.0001315490200988,6,440.32866820000345
TCN,speed_time,24,6,7,val,0.011132487213239577,1.148128775246123,1.6634762820181515,0.014655882980502211,1.0001315490200988,6,513.422104199999
TCN,speed_time,24,6,8,val,0.01059096409495248,0.9361370422493698,1.6041823950677496,0.012545621519787139,0.9361370422493698,8,586.6089186000027
TCN,speed_time,24,6,9,val,0.010410336851332119,1.0846851515158629,1.6535354079629938,0.014238524188554936,0.9361370422493698,8,659.3221404999931
TCN,speed_time,24,6,10,val,0.010140051310244562,0.8881284537682167,1.561531926446746,0.012003740510786334,0.8881284537682167,10,733.5530900000012
TCN,speed_time,24,6,11,val,0.01012956747051421,0.8529549414479835,1.5643810637093523,0.011602005281470545,0.8529549414479835,11,810.350263100001
TCN,speed_time,24,6,12,val,0.00973716084980915,0.9498810505663228,1.5807754416396178,0.01264577194981148,0.8529549414479835,11,883.6252592999954
TCN,speed_time,24,6,13,val,0.00962186613616749,0.8465870842566857,1.554349822855906,0.011420543869100018,0.8465870842566857,13,956.8596904000005
TCN,speed_time,24,6,14,val,0.009466648110587434,0.9765017608903412,1.6213758733976071,0.01366635825952213,0.8465870842566857,13,1030.247368700002
TCN,speed_time,24,6,15,val,0.00943748173654436,0.860822396237626,1.5524211452110819,0.01176958917184391,0.8465870842566857,13,1103.474790399996
TCN,speed_time,24,6,13,test,,0.9041421439681774,1.4869522283977845,0.011990195254006204,0.8465870842566857,13,1113.1804607999948
TCN,speed_reliability,24,6,1,val,0.036025952363182547,1.322779149438581,2.020925493360997,0.017943557009666104,1.322779149438581,1,72.90291299999808
TCN,speed_reliability,24,6,2,val,0.017819127831475715,1.5041986882788503,2.146029413577703,0.020500993206166253,1.322779149438581,1,146.0958965000027
