horizon_hours,point_id,n,MAE,RMSE,sMAPE
3,N024,123,0.9358774200687564,1.5751598884313518,0.00950166271015916
3,N025,123,0.29401478340955284,0.8700230030794235,0.003040883600095719
3,N026,126,0.7763011266314794,1.3761436942394443,0.007871366539819916
3,N027,120,0.9122234344482422,1.6800083784243816,0.009283388154718438
3,N028,123,0.9332857209492506,1.7550244654081857,0.009506604449021495
3,N029,123,0.5541304921716209,1.581562204435211,0.0057859617971391785
3,N030,123,0.4058445876206809,1.0974208419510696,0.004209120967146414
3,N031,126,0.8658054896763393,1.6035934875127877,0.00881276285409033
3,N032,126,0.8439817277211992,1.6234797847246962,0.008610806763650324
3,N033,126,0.6700868757944258,1.1877246145338094,0.006791410029580519
3,N034,123,1.0010554616044207,1.883441267344245,0.010240265457240688
3,N035,126,0.9352246239071801,1.64458272059867,0.009525499596086113
3,N036,126,0.7598306565057664,1.5262745121164922,0.007740718631449754
3,N037,126,1.0603123619442893,2.600285631033981,0.011037890047515849
3,N038,126,0.7373826163155692,1.3932712080791878,0.007499549138115013
3,N039,123,0.8248411349164761,1.4897528264864395,0.008387512238111645
3,N040,126,0.7849118066212487,1.437565411261255,0.00797853528848305
3,N041,126,1.9199302915542844,2.894981721400178,0.022537906736447667
3,N042,126,1.895886012486049,2.5997295996074676,0.02789956130788619
3,N043,120,1.9115779558817545,2.5881413302794765,0.028120366807192366
3,N044,126,2.0177405523875405,2.765853796411782,0.029674960891285893
3,N045,120,2.025319544474284,2.7440779039002874,0.029824045984512944
3,N046,118,1.9450575618420618,2.9781691633399405,0.022860449795929938
3,N047,120,1.9838870684305827,2.7140618385248483,0.029169709182865693
3,N048,126,1.8548669966440352,2.580140065027721,0.02729069002618781
3,N049,120,2.666434907913208,3.335716924760273,0.06916704889341849
3,N050,126,2.5416117925492543,3.1814980788294562,0.06708455115247206
3,N051,126,1.937355465359158,2.6243787537848777,0.02854752798700419
6,N001,236,0.16295032177941274,0.47807502981945615,0.0018252006287732584
6,N002,240,0.22631114323933918,0.4579022804560365,0.0024173668950587487
6,N003,240,0.16205959320068358,0.3634862021835713,0.0018094131127231738
6,N004,237,0.20163263248491892,0.45990972393883245,0.002254025002635484
6,N005,239,1.8635788442699481,1.90847613401209,0.042546155230811344
6,N006,234,0.13049283801999867,0.3664322721339222,0.0014584026172736295
6,N007,239,0.20380692102919065,0.4659414952396951,0.0022784037370556995
6,N008,240,0.1352927843729655,0.3600960461586321,0.001511624968638726
6,N009,240,0.13142455418904622,0.3215567324003366,0.0014671239430065163
6,N010,240,0.25667908986409504,0.5792129509687547,0.0027478011654963014
6,N011,240,0.2189917246500651,0.4535309321350273,0.0023395273670257207
6,N012,235,0.21285702319855385,0.5405037187585618,0.0022797180795385043
6,N013,240,0.32496360143025715,0.7607273857075603,0.0034878521621175525
6,N014,240,0.29503485361735027,0.6939924034052014,0.0031637719505157196
6,N015,230,0.20365491120711618,0.44249591413928674,0.00217604660011997
6,N016,240,1.2071414947509767,1.8617175370993815,0.012398887255591027
6,N017,234,1.201460650843433,2.033479162426036,0.012371146813543798
6,N018,240,0.42911001841227214,0.9796765146288873,0.00443245514495045
6,N019,240,0.38858286539713544,0.9335803274142082,0.0040104737131062915
6,N020,239,0.8992637410822274,1.7220260376392407,0.009160027370875573
6,N021,240,0.9096295356750488,1.781861172049422,0.009273420130772888
6,N022,239,0.41018596952430375,0.9201731979025718,0.004229509259690505
6,N023,240,0.887051010131836,1.567097554612357,0.009008497755616185
6,N024,240,0.8605587959289551,1.3410230314206266,0.008706073640129122
6,N025,238,0.4520478448947939,1.0925904436623446,0.0046756783746262805
6,N026,240,0.8296918551127116,1.5643174344788906,0.008433831291735772
6,N027,239,0.966558703817583,1.8402306320209418,0.00986030403768934
6,N028,240,0.8262150128682454,1.6483397131690243,0.008411889218363017
6,N029,233,0.48389411893525347,1.1372865196107012,0.005005737044512317
6,N030,240,0.4010266621907552,0.864097044374615,0.0041313936621329185
6,N031,239,0.49530291058528375,0.9337514014369714,0.005004174753193536
6,N032,239,0.4904690666677563,1.0461394500426777,0.004970366475626233
6,N033,236,0.4222391419491525,0.8530562724038555,0.00426606713756393
6,N034,237,0.6396263219133208,1.4034577580957297,0.006511387035650132
6,N035,238,0.49232947726209625,1.0342076379520226,0.004985657141826699
6,N036,240,0.39320589701334635,0.8551900888907501,0.003975882157084855
6,N037,240,0.6165696461995442,1.6064358503345693,0.006320695761233484
6,N038,239,0.5334529477682074,1.1247939965398044,0.005406568178333513
6,N039,239,0.44283891621992677,0.8956065475289803,0.004475900843758395
6,N040,240,0.45062700907389325,0.9239695552280089,0.004557453358018059
6,N041,240,1.8334022839864095,2.3848020485176398,0.02140995247203888
6,N042,236,1.7039201219203108,2.300328322378761,0.02489772392664708
6,N043,236,1.7511460255768339,2.315762274802947,0.02556182384030859
6,N044,240,1.7249046325683595,2.2430917104693178,0.025080370084454844
6,N045,238,1.6757091073428882,2.270462490316351,0.024527692890013424
6,N046,237,2.041727186758307,2.7060921834818026,0.02392321116858757
6,N047,240,1.6109404563903809,2.129771919779732,0.02344560149553417
6,N048,240,1.583464543024699,2.0825551640580406,0.023044847160533937
6,N049,240,2.500656755765279,3.246448259162089,0.0641966924574435
6,N050,240,2.5338065385818482,3.3060163094169,0.06529294943510014
6,N051,240,1.6148876349131267,2.106721523648128,0.023517851920552096
