model,split,horizon_hours,n,MAE,RMSE,MAPE,sMAPE,R2
HistoricalAverage,train,3,188143,1.8840564480064899,3.4596649738382395,0.02827155236301584,0.027806968845607457,0.9537787866307927
HistoricalAverage,train,6,194029,1.6709159424346833,2.9981868397084073,0.024944684611924225,0.024637008197897915,0.9650816437439864
HistoricalAverage,train,12,193876,1.236276186073465,2.119447301686668,0.01811618640205165,0.017901500329760917,0.982243931903304
HistoricalAverage,train,24,192397,0.6217339291710131,0.9400741309662549,0.007867388845708914,0.007843869600852534,0.9964501902813545
HistoricalAverage,val,1,29017,1.98358675882232,4.159523740166217,0.03244160494481583,0.03074681540380787,0.9373758307119091
HistoricalAverage,val,3,27285,1.86947322480112,3.5154086718906505,0.029661204957620518,0.02871718502908388,0.9544147295248904
HistoricalAverage,val,6,27348,1.6716249457969512,3.035846123552071,0.026270315916157604,0.025566400579744377,0.9655211225706377
HistoricalAverage,val,12,25014,1.2152356059350888,2.096355939819619,0.018611255601387742,0.018117076562306527,0.9832229466478657
HistoricalAverage,val,24,24799,0.6325779888697511,0.8823515361340143,0.00822593755183494,0.008160755936157667,0.9969443635819757
SeasonalHistoricalAverage,test,1,29080,1.1788972823100659,2.7330316295033055,0.016386789603726953,0.01625674764223312,0.9708831732761829
SeasonalHistoricalAverage,test,3,28225,1.0540818485088488,2.0065083242358743,0.014207996937925757,0.01424717202765588,0.9840421417399381
SeasonalHistoricalAverage,test,6,28685,0.9519557742157024,1.6018649170103407,0.012641816612061893,0.012704975640467313,0.9897768577316389
SeasonalHistoricalAverage,test,12,27805,0.8158950054073275,1.2743836006637734,0.010747722173691578,0.010803456458853044,0.9934224019184801
SeasonalHistoricalAverage,test,24,26000,0.6394572216979711,0.9687305138257464,0.008262003571676871,0.008314247773583744,0.9961362048400038
SeasonalHistoricalAverage,train,1,193339,1.0308226633874524,2.510725140822302,0.0143730842269632,0.01400494795800419,0.9761142058490486
SeasonalHistoricalAverage,train,3,188143,0.905290131450541,1.8222534298030357,0.012162146507430926,0.011997237462606112,0.9871769656604947
SeasonalHistoricalAverage,train,6,194029,0.8198147383248581,1.5045128414056483,0.010813429565408724,0.010708151186012881,0.9912071796026853
SeasonalHistoricalAverage,train,12,193876,0.7109344374380269,1.1670460756410246,0.009141569751110563,0.009088985588123316,0.9946163407793134
SeasonalHistoricalAverage,train,24,192397,0.585225037202408,0.8803179049447254,0.007375211870207968,0.007347787927708277,0.9968871374790328
SeasonalHistoricalAverage,val,1,29017,1.069540976070769,2.961155272614439,0.016417810518361886,0.01542212331302757,0.968262177639089
SeasonalHistoricalAverage,val,3,27285,0.9321555473464336,2.0403523591570414,0.01346769335249792,0.013064362640796256,0.98464381818243
SeasonalHistoricalAverage,val,6,27348,0.8562524633107569,1.6327546724367612,0.012088877037562467,0.011827333288653902,0.9900267781873705
SeasonalHistoricalAverage,val,12,25014,0.7614164644338373,1.2396095255731738,0.010386335441256644,0.01023425377512782,0.9941338191391743
SeasonalHistoricalAverage,val,24,24799,0.6590086675782287,0.9589283613525473,0.008666365029389144,0.008576514580580993,0.9963909681703147
RidgeRegression,test,1,29080,1.5490749018021506,3.134114682286385,0.02239867746634402,0.021993364789702187,0.9617100768938284
RidgeRegression,test,3,28225,1.4354863892117484,2.5806133391532087,0.020435178394945516,0.02026993721349088,0.9736039740096707
RidgeRegression,test,6,28685,1.3121475577954254,2.2824658969057396,0.018542408578938952,0.018497208298831416,0.9792441167325843
RidgeRegression,test,12,27805,1.1724594096262637,2.068923504526457,0.016636967764337336,0.016628912550988282,0.982663722439317
RidgeRegression,test,24,26000,0.9224077887843151,1.5562414098904327,0.012769660484643426,0.012821486259827642,0.9900284638233476
RidgeRegression,train,1,193339,1.666134922411508,3.35671216556126,0.024607037406770827,0.023958214250223053,0.9573057343865647
RidgeRegression,train,3,188143,1.5356262476929998,2.8022080013967967,0.022354848854224833,0.02198969528923418,0.9696768726205247
RidgeRegression,train,6,194029,1.433973079406817,2.536118209076295,0.020723683750799405,0.020517297274526336,0.9750152280924216
RidgeRegression,train,12,193876,1.2744279611109,2.2439058742036733,0.018345816416073007,0.01823028731932501,0.9800973535824707
RidgeRegression,train,24,192397,0.9556679149275593,1.6016965842428152,0.013213231142169869,0.013195605271427036,0.9896951572455076
