point_id,record_rows,first_time,last_time,global_expected_steps,point_expected_steps,observed_steps,coverage_ratio,duplicate_timestamp_rows,speed_anomaly_count,travel_time_anomaly_count,congestion_anomaly_count,coverage_group,max_consecutive_missing_steps
N033,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1902,0.9606060606060606,0,0,0,0,high,24
N034,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1889,0.954040404040404,0,0,0,0,high,24
N035,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1907,0.9631313131313132,0,0,0,0,high,24
N036,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1904,0.9616161616161616,0,0,0,0,high,24
N037,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1908,0.9636363636363636,0,0,0,0,high,24
N038,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1903,0.9611111111111111,0,0,0,0,high,24
N039,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1902,0.9606060606060606,0,0,0,0,high,24
N040,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1907,0.9631313131313132,0,0,0,0,high,24
N041,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1904,0.9616161616161616,0,0,0,0,high,24
N042,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1900,0.9595959595959596,0,0,0,0,high,24
N043,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1896,0.9575757575757575,0,0,0,0,high,25
N044,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1908,0.9636363636363636,0,0,0,0,high,24
N045,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1892,0.9555555555555556,0,0,0,0,high,24
N046,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1905,0.9621212121212122,0,0,0,0,high,24
N047,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1897,0.9580808080808081,0,0,0,0,high,24
N048,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1904,0.9616161616161616,0,0,0,0,high,24
N049,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1906,0.9626262626262626,0,0,0,0,high,24
N050,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1902,0.9606060606060606,0,0,0,0,high,24
N051,1980,2025-12-08 13:00:00,2026-03-01,1980,1980,1909,0.9641414141414142,0,0,0,0,high,24
