model,input_feature_group,history_hours,horizon_hours,epoch,split,train_loss,MAE,RMSE,sMAPE,best_val_MAE,best_epoch,elapsed_seconds
TCN,speed_only,168,1,5,test,,0.9926097419494178,2.343961904731657,0.013627417798954562,1.168564152444443,5,812.4457353000034
TCN,speed_only,168,3,1,val,0.034045696853246196,1.5842341431336326,2.6200666213401727,0.021237443665285596,1.5842341431336326,1,86.59996339998906
TCN,speed_only,168,3,2,val,0.0212013728027531,1.4147235499666817,2.4805732152728592,0.01886384526593764,1.4147235499666817,2,173.40616769999906
TCN,speed_only,168,3,3,val,0.019466154733758217,1.4811072750230478,2.4595353437507703,0.01955328996894392,1.4147235499666817,2,260.01629099999263
TCN,speed_only,168,3,4,val,0.01891621738636752,1.0868923704330653,2.3581594782389734,0.014909470959880336,1.0868923704330653,4,346.4763895999931
TCN,speed_only,168,3,5,val,0.01816908297913248,1.1604281656058903,2.3116016424158787,0.015504908715058786,1.0868923704330653,4,433.35942129998875
TCN,speed_only,168,3,6,val,0.01790208639875038,1.3687761340308178,2.327356427202667,0.017828189432123512,1.0868923704330653,4,519.6782840999949
TCN,speed_only,168,3,7,val,0.017546055596364327,1.3818317880256072,2.373747239082012,0.01833347974491249,1.0868923704330653,4,606.6156550999876
TCN,speed_only,168,3,8,val,0.017411195133651188,1.3457771615716063,2.302573893036277,0.01741594814115654,1.0868923704330653,4,693.3381995999953
TCN,speed_only,168,3,4,test,,0.9244928154504194,1.775107011405854,0.012630947165784157,1.0868923704330653,4,699.9569955999905
TCN,speed_only,168,6,1,val,0.03056632731982944,1.582616108602616,2.2394885930868162,0.02096353568227649,1.582616108602616,1,89.47275460000674
TCN,speed_only,168,6,2,val,0.01711389385260781,1.3097549977584046,2.065403884262601,0.01709257016064591,1.3097549977584046,2,179.06848360000004
TCN,speed_only,168,6,3,val,0.015184442218652049,1.4869985918239532,2.2011243186398044,0.020809288526284005,1.3097549977584046,2,268.3556723000074
TCN,speed_only,168,6,4,val,0.014721205358181572,1.237520771333698,2.074239526897481,0.01684893588569765,1.237520771333698,4,357.7854148000042
TCN,speed_only,168,6,5,val,0.014017161143555225,1.2855684502180234,2.0033196193027956,0.016741512946433532,1.237520771333698,4,447.1646561999951
TCN,speed_only,168,6,6,val,0.01353043289017129,1.0300886908242868,1.9417938556022454,0.014105498420711944,1.0300886908242868,6,536.7683690999984
TCN,speed_only,168,6,7,val,0.013403771291593558,1.1991884084848257,1.8903431220198816,0.0156957142403747,1.0300886908242868,6,626.1353534999944
TCN,speed_only,168,6,8,val,0.013048383674998939,1.4305992092344118,1.995222565421199,0.01811190778220697,1.0300886908242868,6,715.283829299995
TCN,speed_only,168,6,9,val,0.012920138274045836,1.0942715967277294,1.9817390241593928,0.01494165323655919,1.0300886908242868,6,804.5431590999942
TCN,speed_only,168,6,10,val,0.012581705171740433,1.1626353569235486,1.9355667331356945,0.015241047342151677,1.0300886908242868,6,893.7031889000064
TCN,speed_only,168,6,6,test,,0.8551521452143493,1.5024703833414996,0.01184580894272768,1.0300886908242868,6,900.3836830999935
