model,horizon,seed,MAE,RMSE,sMAPE,R2
ST-Transformer-lite,3,2025,1.0004095508506712,1.835210759805292,0.0134825850778374,0.986623520777059
ST-Transformer-lite,3,2026,0.9530041913509288,1.825860432244613,0.0126872983394265,0.9867594788264678
ST-Transformer-lite,3,3407,0.9400040219781134,1.7767922236294489,0.0126934074972174,0.9874615683959084
SeasonalHA,3,42,1.015958182557622,1.943902548137346,0.0136360725452637,0.9849921353689324
SeasonalHA,3,2024,1.015958182557622,1.943902548137346,0.0136360725452637,0.9849921353689324
SeasonalHA,3,2025,1.015958182557622,1.943902548137346,0.0136360725452637,0.9849921353689324
SeasonalHA,3,2026,1.015958182557622,1.943902548137346,0.0136360725452637,0.9849921353689324
SeasonalHA,3,3407,1.015958182557622,1.943902548137346,0.0136360725452637,0.9849921353689324
TCN,3,42,1.0222466029308324,1.8519774583210475,0.0135130376404501,0.986377986127244
TCN,3,2024,0.9782033187408884,1.7975557706969278,0.0130634855822006,0.9871668085607476
TCN,3,2025,0.9752991474483688,1.814527271239447,0.0129831399807669,0.9869233371937106
TCN,3,2026,1.0721781453333192,1.8397670000835091,0.0144622725282368,0.986557019304846
TCN,3,3407,1.0087301718664805,1.801372838019881,0.0133146419255771,0.9871122487346732
XGBoost,3,42,0.8652056803063404,1.647763616801272,0.011298214034674,0.9892164999626084
XGBoost,3,2024,0.8725682599192457,1.6560855864258712,0.011396740608251,0.9891073015642144
XGBoost,3,2025,0.8654067557675807,1.651715349857346,0.0113202699589739,0.9891647150926854
XGBoost,3,2026,0.8774718724430801,1.66227703484509,0.0114373518670661,0.9890257023404172
XGBoost,3,3407,0.8638691671730834,1.6527685195222583,0.0113090294216328,0.9891508930603934
GRU,6,42,1.036771294240906,1.6349907896546962,0.0134837256160795,0.989381991637542
GRU,6,2024,0.9505013424021896,1.537150595246842,0.0124914607990621,0.9906147622842916
GRU,6,2025,0.902780271019372,1.4639736841659376,0.0119127833072641,0.9914870715701428
GRU,6,2026,0.9282782982784372,1.558650568054961,0.0122369623807864,0.9903503854415744
GRU,6,3407,0.9442457480981674,1.4859898647246328,0.0122509027363955,0.9912291004615432
HA,6,42,1.555868891613001,2.78390590069934,0.0229004967444535,0.9692162484630672
HA,6,2024,1.555868891613001,2.78390590069934,0.0229004967444535,0.9692162484630672
HA,6,2025,1.555868891613001,2.78390590069934,0.0229004967444535,0.9692162484630672
HA,6,2026,1.555868891613001,2.78390590069934,0.0229004967444535,0.9692162484630672
HA,6,3407,1.555868891613001,2.78390590069934,0.0229004967444535,0.9692162484630672
Persistence,6,42,1.6025600083736964,3.6998692720239874,0.0235836971085944,0.9456267614812416
Persistence,6,2024,1.6025600083736964,3.6998692720239874,0.0235836971085944,0.9456267614812416
Persistence,6,2025,1.6025600083736964,3.6998692720239874,0.0235836971085944,0.9456267614812416
Persistence,6,2026,1.6025600083736964,3.6998692720239874,0.0235836971085944,0.9456267614812416
Persistence,6,3407,1.6025600083736964,3.6998692720239874,0.0235836971085944,0.9456267614812416
ST-Transformer-lite,6,42,0.8868063855049702,1.5564880749260253,0.0121077558261359,0.990377142881465
ST-Transformer-lite,6,2024,0.8900082970888388,1.5310866590641574,0.0120055640926996,0.9906886642521522
ST-Transformer-lite,6,2025,0.8797634142941988,1.4890291208327708,0.0119455461360336,0.9911931859898886
ST-Transformer-lite,6,2026,0.918715313784919,1.6326448907126054,0.0123262733400562,0.98941243939918
ST-Transformer-lite,6,3407,0.9311357774409968,1.770834587062946,0.0125887684432007,0.9875442915647016
SeasonalHA,6,42,0.9103676185940276,1.5415282255127518,0.0120656341481472,0.9905612299841332
SeasonalHA,6,2024,0.9103676185940276,1.5415282255127518,0.0120656341481472,0.9905612299841332
SeasonalHA,6,2025,0.9103676185940276,1.5415282255127518,0.0120656341481472,0.9905612299841332
SeasonalHA,6,2026,0.9103676185940276,1.5415282255127518,0.0120656341481472,0.9905612299841332
SeasonalHA,6,3407,0.9103676185940276,1.5415282255127518,0.0120656341481472,0.9905612299841332
TCN,6,42,0.9193061027169404,1.5223382176872675,0.0123827233904492,0.9907947679127832
