phase,stratification_type,stratum,horizon,seed,test_n,MAE,RMSE,MAPE,sMAPE,R2,relative_MAE_vs_best_stratum_percent,threshold_method,threshold_values,warning,error_rank
phase17,reliability,medium,3,3407,4066,0.7440777425395404,1.374149345130815,0.0080667858624,0.0080190591841204,0.980501525827145,0.0,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,3
phase17,reliability,high,3,3407,4167,1.2957903617344402,2.1583620662901417,0.0193090350958871,0.0191385373319687,0.9877495590850812,74.14717409929537,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,1
phase17,reliability,low,6,42,3804,0.861324690368524,1.4452670220826291,0.01144960692865,0.0115763920738169,0.9908024856891604,33.74855776971193,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,2
phase17,reliability,medium,6,42,4134,0.6439880210533198,1.0620518553935403,0.006955523373079,0.0069216618175436,0.98838617513739,0.0,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,3
phase17,reliability,high,6,42,4228,1.2406699253684976,1.9200016340821524,0.0183506711883476,0.0184478399706128,0.9902938709886956,92.65419306080148,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,1
phase17,reliability,low,6,2024,3804,0.8799246618549655,1.4302234516291463,0.0113131116975851,0.0113794981504894,0.9909929603212838,31.550671652196197,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,2
phase17,reliability,medium,6,2024,4134,0.6688864836672048,1.0639194835844954,0.0071857242180251,0.0071563761730823,0.988345293182498,0.0,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,3
phase17,reliability,high,6,2024,4228,1.2653024523689032,1.922055565079857,0.0183832749159151,0.0182483010717451,0.990273093524702,89.16549867053926,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,1
phase17,reliability,low,6,2025,3804,0.9159169362546518,1.5304340354620083,0.0120870429705657,0.0120657449203599,0.9896865606996172,40.56457746455677,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,2
phase17,reliability,medium,6,2025,4134,0.6515986835201062,1.0486804138622554,0.0072256632506861,0.0072039246834149,0.9886767748684264,0.0,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,3
phase17,reliability,high,6,2025,4228,1.2967019112694342,1.9626724296401716,0.0186244570248461,0.0185608316718949,0.9898576520292058,99.0031508756758,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,1
phase17,reliability,low,6,2026,3804,0.8342946240077134,1.392822960369387,0.0107295222552122,0.0107134500911204,0.9914578710954424,22.898968618944835,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,2
phase17,reliability,medium,6,2026,4134,0.6788459117134585,1.10107691994681,0.0074132637090421,0.0073722074261694,0.9875169949197096,0.0,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,3
phase17,reliability,high,6,2026,4228,1.234322192427564,1.8772400775222755,0.0180406683336825,0.017877256959369,0.9907213990360596,81.82656345562151,rank_tertiles_from_historical_feature_values,"{""train_low_medium"": 1.0, ""train_medium_high"": 1.0, ""assignment"": ""rank_qcut_three_equal_frequency_bins""}",none,1
