phase,file_name,original_path,bytes,readable,non_empty,columns,row_count
phase13,SeasonalHA_h1_seed2024.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h1_seed2024.parquet,133600,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,SeasonalHA_h1_seed2025.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h1_seed2025.parquet,133600,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,SeasonalHA_h1_seed2026.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h1_seed2026.parquet,133600,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,SeasonalHA_h1_seed3407.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h1_seed3407.parquet,133600,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,SeasonalHA_h1_seed42.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h1_seed42.parquet,133600,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,SeasonalHA_h3_seed2024.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h3_seed2024.parquet,154742,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,SeasonalHA_h3_seed2025.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h3_seed2025.parquet,154742,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,SeasonalHA_h3_seed2026.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h3_seed2026.parquet,154742,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,SeasonalHA_h3_seed3407.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h3_seed3407.parquet,154742,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,SeasonalHA_h3_seed42.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h3_seed42.parquet,154742,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,SeasonalHA_h6_seed2024.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h6_seed2024.parquet,178986,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,SeasonalHA_h6_seed2025.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h6_seed2025.parquet,178986,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,SeasonalHA_h6_seed2026.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h6_seed2026.parquet,178986,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,SeasonalHA_h6_seed3407.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h6_seed3407.parquet,178986,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,SeasonalHA_h6_seed42.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\SeasonalHA_h6_seed42.parquet,178986,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,ST-Transformer-lite_h1_seed2024.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h1_seed2024.parquet,287476,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,ST-Transformer-lite_h1_seed2025.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h1_seed2025.parquet,285968,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,ST-Transformer-lite_h1_seed2026.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h1_seed2026.parquet,288380,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,ST-Transformer-lite_h1_seed3407.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h1_seed3407.parquet,286168,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,ST-Transformer-lite_h1_seed42.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h1_seed42.parquet,288052,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
phase13,ST-Transformer-lite_h3_seed2024.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h3_seed2024.parquet,282925,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,ST-Transformer-lite_h3_seed2025.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h3_seed2025.parquet,282525,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,ST-Transformer-lite_h3_seed2026.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h3_seed2026.parquet,282425,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,ST-Transformer-lite_h3_seed3407.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h3_seed3407.parquet,281981,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,ST-Transformer-lite_h3_seed42.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h3_seed42.parquet,282837,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,11878
phase13,ST-Transformer-lite_h6_seed2024.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h6_seed2024.parquet,291600,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,ST-Transformer-lite_h6_seed2025.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h6_seed2025.parquet,291696,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,ST-Transformer-lite_h6_seed2026.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h6_seed2026.parquet,291832,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,ST-Transformer-lite_h6_seed3407.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h6_seed3407.parquet,291736,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,ST-Transformer-lite_h6_seed42.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h6_seed42.parquet,291516,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12166
phase13,TCN_h1_seed2024.parquet,D:\2026_PD\outputs\locked\phase13_full\predictions\TCN_h1_seed2024.parquet,269012,True,True,sample_id|timestamp|node_id|horizon|model|seed|y_true|y_pred|abs_error|squared_error,12265
