phase,experiment,level,level_numeric,horizon,seed,test_n,MAE,RMSE,MAPE,sMAPE,R2,reference_MAE,relative_MAE_change_percent
phase16,missingness,0,0.0,3,2024,11878,1.0965016664208578,1.8306693949955424,0.0143524249590848,0.0142896185323015,0.986689641041056,1.0965016664208578,0.0
phase16,missingness,10,10.0,3,2024,11878,1.9517792290480251,3.0842702142508007,0.0272103484209278,0.0260591442907744,0.9622188854786684,1.0965016664208578,78.0005711636462
phase16,missingness,20,20.0,3,2024,11878,2.9175944345168823,4.486005119913602,0.0423892322389292,0.0394599265842989,0.920073746617493,1.0965016664208578,166.08207938619358
phase16,missingness,30,30.0,3,2024,11878,3.989801592328248,5.959150587032669,0.0587986719732519,0.0536764431548193,0.8589611864466776,1.0965016664208578,263.86644129338583
phase16,missingness,0,0.0,3,2025,11878,1.172280978305429,1.969541169142211,0.0153495552062215,0.0152333373490157,0.9845936396313124,1.172280978305429,0.0
phase16,missingness,10,10.0,3,2025,11878,1.7328486459426635,2.8174502261960512,0.0244042988651198,0.0233585974830374,0.9684730156972916,1.172280978305429,47.818541630484624
phase16,missingness,20,20.0,3,2025,11878,2.51971053932628,3.9203678167399576,0.036345444661726,0.0340847459624765,0.9389587306343852,1.172280978305429,114.94083636574948
phase16,missingness,30,30.0,3,2025,11878,3.504011670433927,5.192638077096379,0.0507516263349373,0.0469553228381401,0.892910711536651,1.172280978305429,198.90544462293423
phase16,missingness,0,0.0,3,2026,11878,1.1904330604464584,1.9599611912233368,0.0156648549783072,0.015586527983314,0.984743150232468,1.1904330604464584,0.0
phase16,missingness,10,10.0,3,2026,11878,2.183183660569828,3.0974462556584967,0.0286076112730514,0.0279890144062185,0.9618953931706216,1.1904330604464584,83.3940717129487
phase16,missingness,20,20.0,3,2026,11878,3.580021625055691,4.730104664439429,0.0461547490195604,0.0448993619518634,0.911138952816052,1.1904330604464584,200.73271181775183
phase16,missingness,30,30.0,3,2026,11878,5.141883146925434,6.430073700916839,0.0656637469812371,0.0638213597738968,0.8357891582677945,1.1904330604464584,331.9338329697454
phase16,missingness,0,0.0,3,3407,11878,1.1555155800496475,1.9527490259612643,0.0152205869856663,0.015102492850048,0.984855226402084,1.1555155800496475,0.0
phase16,missingness,10,10.0,3,3407,11878,1.7849534189365872,3.0297593465724537,0.0258527308276907,0.0244607620159968,0.9635425580047692,1.1555155800496475,54.472466642111
phase16,missingness,20,20.0,3,3407,11878,2.673862158118083,4.397119109381265,0.0404736027045463,0.0371107396431862,0.923209696227299,1.1555155800496475,131.3999226218307
phase16,missingness,30,30.0,3,3407,11878,3.693605774479455,5.885314638675235,0.0568792853362535,0.0509798825032553,0.8624345739727236,1.1555155800496475,219.65001928582885
phase16,missingness,0,0.0,6,42,12166,1.0392762719849975,1.5850672160967356,0.0135706157591798,0.0135305011607437,0.9900205223660116,1.0392762719849975,0.0
phase16,missingness,10,10.0,6,42,12166,1.6544955706843298,2.7632960519734904,0.0243012878279819,0.0231035992398718,0.9696703586279526,1.0392762719849975,59.19689646375502
phase16,missingness,20,20.0,6,42,12166,2.4783875338246943,4.249775190109944,0.0385139967201067,0.0352610410377883,0.9282628108884002,1.0392762719849975,138.4724447803491
phase16,missingness,30,30.0,6,42,12166,3.40468678026828,5.817332018249178,0.054517954099524,0.0483286205228904,0.8655811594932952,1.0392762719849975,227.60170438274255
phase16,missingness,0,0.0,6,2024,12166,1.0143020851879003,1.5467639131350026,0.0133290458473402,0.0132292072902548,0.9904970049202052,1.0143020851879003,0.0
phase16,missingness,10,10.0,6,2024,12166,1.8560610935324688,2.947377795647066,0.026605578288334,0.0253529064001312,0.9654948391051456,1.0143020851879003,82.9889852970806
phase16,missingness,20,20.0,6,2024,12166,2.88032262113246,4.4468537781873785,0.0425635145702613,0.0395732745495898,0.9214550730022704,1.0143020851879003,183.9708863064082
phase16,missingness,30,30.0,6,2024,12166,3.9361147716722265,6.032136042711881,0.0595901069149919,0.0539408824322257,0.8554711000154502,1.0143020851879003,288.0613901077664
phase16,missingness,0,0.0,6,2025,12166,1.1314962272010665,1.73935893124201,0.0147547944657096,0.0146294932220023,0.9879831437746892,1.1314962272010665,0.0
phase16,missingness,10,10.0,6,2025,12166,1.7003941392498778,2.686764549882861,0.0242078367600422,0.0232104556638685,0.9713270973039412,1.1314962272010665,50.27837463109088
phase16,missingness,20,20.0,6,2025,12166,2.621874015189777,3.970031473347899,0.038092245297286,0.0358507204339195,0.9373962510012444,1.1314962272010665,131.7174332675765
phase16,missingness,30,30.0,6,2025,12166,3.8046287393640497,5.502345322822338,0.0552212310079287,0.0511565305363051,0.8797436196164633,1.1314962272010665,236.2475850914144
phase16,missingness,0,0.0,6,2026,12166,1.1326843643000344,1.697791532674226,0.0146779715182102,0.0146380448137039,0.98855064111683,1.1326843643000344,0.0
phase16,missingness,10,10.0,6,2026,12166,2.118582288587483,2.8943164644291044,0.0274882642658837,0.0270225266657515,0.9667260413731726,1.1326843643000344,87.04083461915754
phase16,missingness,20,20.0,6,2026,12166,3.4550642574497807,4.457673104388332,0.0448229400661782,0.0436411735175625,0.9210724038041592,1.1326843643000344,205.03327902693428
phase16,missingness,30,30.0,6,2026,12166,4.982332127709227,6.144969340108126,0.0641792420790619,0.0623032571914495,0.8500135994858136,1.1326843643000344,339.86941859024967
phase16,missingness,0,0.0,6,3407,12166,1.0855548328109308,1.7019167208761412,0.0142225025482834,0.0141068219298615,0.9884949356448034,1.0855548328109308,0.0
phase16,missingness,10,10.0,6,3407,12166,1.8177451632749129,2.9866754832178604,0.0267933825571806,0.0253605503154439,0.9645685834364364,1.0855548328109308,67.44848885873886
phase16,missingness,20,20.0,6,3407,12166,2.721108807675564,4.346224145515806,0.0412782603053871,0.0380501197940799,0.9249697000852116,1.0855548328109308,150.66525664388016
phase16,missingness,30,30.0,6,3407,12166,3.890490357742172,6.075588077627905,0.0599650140172184,0.0537700813185601,0.8533813945494628,1.0855548328109308,258.38727258651267
