phase,experiment,ratio_percent,horizon,seed,train_n,val_n,test_n,MAE,RMSE,MAPE,sMAPE,R2,reference_MAE_100_percent,relative_MAE_change_percent
phase16,small_sample,20,3,2025,12956,11601,11878,1.3262679494577418,2.137995241471564,0.0180066150506164,0.0177840640217701,0.9818455375444496,1.172280978305429,13.135670884543888
phase16,small_sample,40,3,2025,25913,11601,11878,1.275338081704143,2.037610299074587,0.0169506071989627,0.0168705176155078,0.9835103218192144,1.172280978305429,8.791160592547206
phase16,small_sample,60,3,2025,38869,11601,11878,1.2451041814634185,2.0631048797695724,0.0163455041572002,0.0161454968779386,0.9830951026405518,1.172280978305429,6.212094583608915
phase16,small_sample,80,3,2025,51826,11601,11878,1.159068486569686,1.9621837678730656,0.0152380772508223,0.0150961193147366,0.9847085283790118,1.172280978305429,-1.1270755032502813
phase16,small_sample,100,3,2025,64783,11601,11878,1.172280978305429,1.969541169142211,0.0153495552062215,0.0152333373490157,0.9845936396313124,1.172280978305429,0.0
phase16,small_sample,20,3,2026,12956,11601,11878,1.3898314384322994,2.187701981054876,0.0188747111008603,0.0186824915337483,0.9809915700877856,1.1904330604464584,16.750070592886505
phase16,small_sample,40,3,2026,25913,11601,11878,1.2780956020056549,2.0386917069548085,0.0170938815203285,0.0169702188970798,0.9834928142517616,1.1904330604464584,7.363920280097032
phase16,small_sample,60,3,2026,38869,11601,11878,1.3144277733852414,2.0806212552153,0.0172262658094168,0.0172522107320187,0.9828068288123454,1.1904330604464584,10.415933248046745
phase16,small_sample,80,3,2026,51826,11601,11878,1.2556391568431993,2.057176957340264,0.0164613517745215,0.0164792759294877,0.983192108811307,1.1904330604464584,5.477510543288012
phase16,small_sample,100,3,2026,64783,11601,11878,1.1904330604464584,1.9599611912233368,0.0156648549783072,0.015586527983314,0.984743150232468,1.1904330604464584,0.0
phase16,small_sample,20,3,3407,12956,11601,11878,1.431181030254168,2.218421756782804,0.0190776274547122,0.0189670138324816,0.9804539881656584,1.1555155800496475,23.85648925587628
phase16,small_sample,40,3,3407,25913,11601,11878,1.2652300145614426,2.0955617979163645,0.016812332917461,0.0166696220668862,0.9825590205254288,1.1555155800496475,9.49484683772772
phase16,small_sample,60,3,3407,38869,11601,11878,1.220450975855185,2.009794746433773,0.0161853617054517,0.0160541091632568,0.983957452311038,1.1555155800496475,5.619603658026612
phase16,small_sample,80,3,3407,51826,11601,11878,1.1840255358018823,2.000489030672267,0.0155880147960645,0.0154516414827765,0.98410566821741,1.1555155800496475,2.467293063327634
phase16,small_sample,100,3,3407,64783,11601,11878,1.1555155800496475,1.9527490259612643,0.0152205869856663,0.015102492850048,0.984855226402084,1.1555155800496475,0.0
phase16,small_sample,20,6,42,13342,11700,12166,1.2783361990240556,1.87789012041674,0.017218267480517,0.017097438349153,0.9859927526989528,1.0392762719849975,23.002538736158964
phase16,small_sample,40,6,42,26685,11700,12166,1.1524439097900994,1.692921208248722,0.0152167807769164,0.0151764303986561,0.9886162346964112,1.0392762719849975,10.88908126315187
phase16,small_sample,60,6,42,40028,11700,12166,1.0684042392387685,1.6287648857247834,0.0141499405366956,0.0140673430620425,0.9894627025945736,1.0392762719849975,2.80271647096656
phase16,small_sample,80,6,42,53371,11700,12166,1.084935106612655,1.6579483552899503,0.0143010551864947,0.0143138263393413,0.9890817146975512,1.0392762719849975,4.39332984485922
phase16,small_sample,100,6,42,66714,11700,12166,1.0392762719849975,1.5850672160967356,0.0135706157591798,0.0135305011607437,0.9900205223660116,1.0392762719849975,0.0
phase16,small_sample,20,6,2024,13342,11700,12166,1.3154991306052206,1.884685144374434,0.0173893923379884,0.0172991589264508,0.9858912006640018,1.0143020851879003,29.695004063954308
