phase,experiment,level,level_numeric,horizon,seed,test_n,MAE,RMSE,MAPE,sMAPE,R2,reference_MAE,relative_MAE_change_percent
phase16,noise,medium,0.1,1,2026,12265,1.3135957914617564,2.543179146930625,0.0173831036478417,0.0170737457045585,0.9747744174850792,1.1632968047274603,12.920089363566031
phase16,noise,high,0.15,1,2026,12265,1.4550468468150946,2.6298196710319326,0.0190725766438661,0.0187617928050784,0.9730263799816592,1.1632968047274603,25.07958767719525
phase16,noise,clean,0.0,1,3407,12265,1.3894647571052088,2.705622092972387,0.0189744097008261,0.0186438687030771,0.97144898388454,1.3894647571052088,0.0
phase16,noise,low,0.05,1,3407,12265,1.4220207614020042,2.71743965340328,0.0193129134733948,0.0189873430635288,0.9711990301227752,1.3894647571052088,2.3430608175066
phase16,noise,medium,0.1,1,3407,12265,1.51268003333893,2.7602154632829485,0.0202914323215229,0.019971723402215,0.9702851689586556,1.3894647571052088,8.867823066662465
phase16,noise,high,0.15,1,3407,12265,1.6387084309344286,2.8327004530635094,0.0216697489639223,0.0213566784837712,0.9687040167890072,1.3894647571052088,17.93810692604328
phase16,noise,clean,0.0,3,42,11878,1.1280393443097168,1.889791028370647,0.0149330528555803,0.0147857799542536,0.9858160402096158,1.1280393443097168,0.0
phase16,noise,low,0.05,3,42,11878,1.154337059550262,1.903115161003586,0.0152226104897519,0.0150775661310259,0.9856153246807066,1.1280393443097168,2.3312764198519744
phase16,noise,medium,0.1,3,42,11878,1.228089462006648,1.9505908887087795,0.0160689042564126,0.0159274237592897,0.9848886832759948,1.1280393443097168,8.869381923744436
phase16,noise,high,0.15,3,42,11878,1.3315963216814697,2.0302544380237086,0.0172773700706916,0.017139946265259,0.9836291638176332,1.1280393443097168,18.04520191592393
phase16,noise,clean,0.0,3,2024,11878,1.0965016664208578,1.8306693949955424,0.0143524249590848,0.0142896185323015,0.986689641041056,1.0965016664208578,0.0
phase16,noise,low,0.05,3,2024,11878,1.130734647920104,1.851737914752169,0.014730624123352,0.0146674135288636,0.9863815097714153,1.0965016664208578,3.122018191817949
phase16,noise,medium,0.1,3,2024,11878,1.2154485380073492,1.9100175865454991,0.0156930236657012,0.0156322661115186,0.9855107916406344,1.0965016664208578,10.847851419574347
phase16,noise,high,0.15,3,2024,11878,1.33047932449626,2.002482815868241,0.017022785875439,0.0169670128143667,0.9840739702927868,1.0965016664208578,21.33855927817599
phase16,noise,clean,0.0,3,2025,11878,1.172280978305429,1.969541169142211,0.0153495552062215,0.0152333373490157,0.9845936396313124,1.172280978305429,0.0
phase16,noise,low,0.05,3,2025,11878,1.2080203188170204,1.984057171483405,0.0157304051864547,0.0156122689190671,0.9843657054271284,1.172280978305429,3.0487008808462885
phase16,noise,medium,0.1,3,2025,11878,1.2934789596573033,2.036997504464368,0.0166963765341543,0.0165771303104659,0.9835202385991328,1.172280978305429,10.33864607502799
phase16,noise,high,0.15,3,2025,11878,1.4078586937743298,2.125671066662486,0.0180285161056079,0.017908836204359,0.9820542320346014,1.172280978305429,20.095669880222385
phase16,noise,clean,0.0,3,2026,11878,1.1904330604464584,1.9599611912233368,0.0156648549783072,0.015586527983314,0.984743150232468,1.1904330604464584,0.0
phase16,noise,low,0.05,3,2026,11878,1.214301701847763,1.9745005409115688,0.0159608461327941,0.0158826120228636,0.9845159544666964,1.1904330604464584,2.005038518701175
phase16,noise,medium,0.1,3,2026,11878,1.2858448107247804,2.023302817580328,0.0168082471380706,0.0167322975214199,0.9837410798458512,1.1904330604464584,8.014877396175384
phase16,noise,high,0.15,3,2026,11878,1.3890035534210128,2.1045194320420126,0.018042432815409,0.0179708107238072,0.9824095963268684,1.1904330604464584,16.680525732382034
phase16,noise,clean,0.0,3,3407,11878,1.1555155800496475,1.9527490259612643,0.0152205869856663,0.015102492850048,0.984855226402084,1.1555155800496475,0.0
phase16,noise,low,0.05,3,3407,11878,1.183779256595548,1.9711728463283644,0.0155401611855414,0.0154222063486993,0.9845681020898058,1.1555155800496475,2.445979702384125
phase16,noise,medium,0.1,3,3407,11878,1.26075039642149,2.022473972028646,0.0164133784360543,0.0162949177700357,0.9837543980434836,1.1555155800496475,9.107174164395165
phase16,noise,high,0.15,3,3407,11878,1.3702228728880643,2.10491859855798,0.0176757877632048,0.0175573907344216,0.9824029229116178,1.1555155800496475,18.58108160075105
phase16,noise,clean,0.0,6,42,12166,1.0392762719849975,1.5850672160967356,0.0135706157591798,0.0135305011607437,0.9900205223660116,1.0392762719849975,0.0
phase16,noise,low,0.05,6,42,12166,1.0672904808976316,1.6024614093971283,0.0138877798058447,0.0138481797144238,0.9898002952316474,1.0392762719849975,2.695549746279422
phase16,noise,medium,0.1,6,42,12166,1.1340871773600167,1.653565279221538,0.0146545606529142,0.0146156517372871,0.9891393671780364,1.0392762719849975,9.122781682865906
phase16,noise,high,0.15,6,42,12166,1.2276639206206037,1.7354466211940676,0.0157363404312819,0.0156975966800194,0.988037141593076,1.0392762719849975,18.126811292996152
phase16,noise,clean,0.0,6,2024,12166,1.0143020851879003,1.5467639131350026,0.0133290458473402,0.0132292072902548,0.9904970049202052,1.0143020851879003,0.0
phase16,noise,low,0.05,6,2024,12166,1.036815899797672,1.5630637293817662,0.0135685563245622,0.0134693116917916,0.9902956642684604,1.0143020851879003,2.219636037285769
phase16,noise,medium,0.1,6,2024,12166,1.1038512286829474,1.6130534939045948,0.0143204116003895,0.0142217762789989,0.9896650118639512,1.0143020851879003,8.828646298056066
