dataset,phase,model,model_note,horizon,seed,history_hours,aggregation,sensor_count,train_n,val_n,test_n,MAE,RMSE,MAPE,sMAPE,R2,fit_time_sec,inference_time_sec,config_hash,data_hash
METR-LA-mini,phase20,HA,external sanity check; not SOTA benchmark,3,42,24,1h,50,98600,20050,20100,5.595527209950917,9.503428974581972,0.1596610710122457,0.1168458788848799,0.3675263274626658,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Persistence,external sanity check; not SOTA benchmark,3,42,24,1h,50,98600,20050,20100,6.3192616467452165,11.74912940588088,0.1618063256192038,0.1372829311941865,0.0332967915887312,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,TCN,external sanity check; not SOTA benchmark,3,42,24,1h,50,98600,20050,20100,4.155731150404137,7.496425351193922,0.1162329321289965,0.0895431470939845,0.6064587805868561,306.010797200026,0.2915966000291519,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,ST-Transformer-lite,external sanity check; not SOTA benchmark,3,42,24,1h,50,98600,20050,20100,5.354900963342012,9.161225189156148,0.1522664603640188,0.1126302849284668,0.4122550548914697,128.3303476999863,0.9551971000037156,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Proposed,Proposed is the Phase 13 main model architecture alias: TCN,3,42,24,1h,50,98600,20050,20100,4.155731150404137,7.496425351193922,0.1162329321289965,0.0895431470939845,0.6064587805868561,136.81085869995877,0.8363500999985263,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,HA,external sanity check; not SOTA benchmark,3,2024,24,1h,50,98600,20050,20100,5.595527209950917,9.503428974581972,0.1596610710122457,0.1168458788848799,0.3675263274626658,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Persistence,external sanity check; not SOTA benchmark,3,2024,24,1h,50,98600,20050,20100,6.3192616467452165,11.74912940588088,0.1618063256192038,0.1372829311941865,0.0332967915887312,0.0,0.0,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,TCN,external sanity check; not SOTA benchmark,3,2024,24,1h,50,98600,20050,20100,4.030911698887004,7.269958364476932,0.111958425531271,0.0871129307283279,0.6298773756353591,199.22098739998185,0.3574689999804832,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,ST-Transformer-lite,external sanity check; not SOTA benchmark,3,2024,24,1h,50,98600,20050,20100,3.976348729774133,7.242463580068443,0.1109994761677536,0.0866173350727312,0.6326716690108309,285.0249346999917,0.5566038999822922,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
METR-LA-mini,phase20,Proposed,Proposed is the Phase 13 main model architecture alias: TCN,3,2024,24,1h,50,98600,20050,20100,4.030911698887004,7.269958364476932,0.111958425531271,0.0871129307283279,0.6298773756353591,144.67214809998404,0.2727969999541528,32ddabf269a10bd45147a6477993e1bfe0e49a0b911385eddd2c647a03f4e049,2feb847282b064a21f4d1f24439eb225630725b46b85fec90a30cfd06add5fce
